Obs,Name,Ret,MW,BP,RI,H1,H2,H3,H4,H5
1,"2,4,4-trimethyl-2-pentene",153.570,112.215,105.060,1.4135,0,1,0,0,0
2,"1,5-cyclooctadiene",237.560,108.183,150.270,1.4905,0,0,0,1,0
3,methyl cyclohexane,153.570,98.188,101.080,1.4206,0,0,1,0,0
4,m-diethyl benzene,281.500,134.221,181.290,1.4931,0,0,0,0,1
5,"2,2,4-trimethyl pentane",139.240,114.231,99.390,1.3890,1,0,0,0,0
6,undecane,288.500,156.310,196.000,1.4170,1,0,0,0,0
7,toluene,174.000,92.140,110.600,1.4970,0,0,0,0,1
8,"1,7-octadiene",172.200,110.200,117.000,1.4220,0,1,0,0,0
9,beta pinene,254.000,136.240,165.000,1.4780,0,0,0,1,0
10,methylcyclohexane,152.400,98.190,101.000,1.4220,0,0,1,0,0
11,"2,3 dimethylbutane",100.700,86.177,58.130,1.3728,1,0,0,0,0
12,heptane,139.800,100.210,98.000,1.3870,1,0,0,0,0
13,p-isopropyl toluene,272.300,134.220,176.000,1.4900,0,0,0,0,1
14,"1,2,3-trimethyl benzene",276.300,120.194,176.270,1.5115,0,0,0,0,1
15,isoprene,83.100,68.120,34.000,1.4220,0,1,0,0,0
16,alpha-pinene,234.500,136.240,155.000,1.4650,0,0,0,1,0
17,dodecane,325.700,170.340,216.000,1.4220,1,0,0,0,0
18,nonane,212.600,128.260,151.000,1.4050,1,0,0,0,0
19,cyclooctadiene,237.400,108.180,150.000,1.4931,0,0,0,1,0
20,cycloheptane,181.230,98.188,118.940,1.4424,0,0,1,0,0
21,p-ethyl toluene,248.800,120.194,162.160,1.4924,0,0,0,0,1
22,"1,3 cyclooctadiene",226.000,108.180,143.000,1.4930,0,0,0,1,0
23,octane,175.500,114.230,126.000,1.3980,1,0,0,0,0
24,4-methyl cyclohexene,160.480,96.172,99.860,1.4060,0,0,0,1,0
25,pentane,78.000,72.150,35.000,1.3580,1,0,0,0,0
26,butyl benzene,285.100,134.220,183.000,1.4890,0,0,0,0,1
27,"1,2,4-trimethyl benzene",262.700,120.194,169.530,1.5024,0,0,0,0,1
28,benzene,135.700,78.110,80.000,1.5010,0,0,0,0,1
29,"2,3,4-trimethyl pentane",160.980,114.231,113.620,1.4020,1,0,0,0,0
30,styrene,224.900,104.150,146.000,1.5470,0,0,0,0,1
31,"1,2,3,5-tetramethyl benzene",313.100,134.220,197.000,1.5120,0,0,0,0,1
32,limonene,271.500,136.240,176.000,1.4730,0,0,0,1,0
33,ethylbenzene,209.700,106.170,136.000,1.4950,0,0,0,0,1
34,m-ethyl toluene,247.800,120.194,161.480,1.4941,0,0,0,0,1
35,3-methylhexane,132.320,100.204,92.000,1.3861,1,0,0,0,0